treeID,stemID,tag,StemTag,sp,quadrat,gx,gy,MeasureID,CensusID,dbh,pom,hom,ExactDate,DFstatus,codes,nostems,status,date
28403,36009,19334,19334,PREMON,825,144.12,490.96,445765,5,153,1.3,1.3,15404,alive,MAIN;A,1,A,NA
28510,36142,19451,19451,PREMON,1225,221.77,498.37,445843,5,136,1.4,1.4,15406,alive,MAIN;A,1,A,NA
28530,36163,19470,19470,MATDOM,1225,234.34,499.65,445856,5,274,1.4,1.4,15406,alive,MAIN;A,1,A,NA
28543,36178,19486,19486,GUAGUI,1325,247.11,499.35,445866,5,337,1.3,1.3,15406,alive,MAIN;A,2,A,NA
28606,36268,19546,19546,PREMON,1525,297.28,482.55,445908,5,153,1.3,1.3,15405,alive,MAIN;A,1,A,NA
28615,36279,19556,19556,PREMON,1625,305.5,492.97,445916,5,165,1.3,1.3,15407,alive,MAIN;A,1,A,NA
28620,36284,19560,19560,PREMON,1625,309.03,480.27,445918,5,148,1.4,1.42,15407,alive,MAIN;A,1,A,NA
28684,36357,19631,19631,CASSYL,102,19.77,32.64,445962,5,70,1.3,1.3,15140,alive,MAIN;A,1,A,NA
28718,36391,19669,19669,SLOBER,202,32.68,33.73,445987,5,119,1.45,1.43,15141,alive,MAIN;A,1,A,NA
28746,36423,19701,19701,MIRGAR,102,1.23,23.42,446004,5,29.4,1.3,1.3,15139,alive,MAIN;A,1,A,NA
28863,36560,19842,19842,SLOBER,302,55.08,25.53,446093,5,57,1.3,1.3,15142,alive,MAIN;A,1,A,NA
28939,36644,19916,19916,SLOBER,705,129.35,82.45,446127,5,45.6,1.25,1.25,15195,alive,MAIN;A,1,A,NA
28970,36676,19948,19948,HIRRUG,605,111.31,94.58,446149,5,23.5,1.25,1.27,15191,alive,MAIN;A,2,A,NA
29014,36722,1999,1999,SLOBER,401,62.56,0.22,435327,5,24.7,1.25,1.25,15145,alive,MAIN;A,1,A,NA
29280,37012,20278,20278,DACEXC,1301,250.29,1.91,446237,5,83,1.3,1.3,15159,alive,MAIN;A,1,A,NA
29422,37164,20449,20451,SLOBER,1201,230.28,15.25,446269,5,37.3,1.3,1.3,15159,alive,SPROUT;A,3,A,NA
29463,37205,20494,20494,CECSCH,1201,237.38,13.08,446279,5,168,1.4,1.4,15159,alive,MAIN;A,1,A,NA
29616,37376,20659,20659,CECSCH,1401,271.51,12.43,446327,5,113,1.3,1.3,15161,alive,MAIN;A,1,A,NA
29956,37781,21020,21020,GUEVAL,1601,308.17,7.85,446512,5,175,1.3,1.3,15162,alive,MAIN;A,1,A,NA
29966,37791,2103,2103,PREMON,403,61.84,42.44,435434,5,167,1.3,1.3,15166,alive,MAIN;A,1,A,NA
30385,38312,2150,2150,GUEVAL,503,95.44,53.68,435474,5,105,1.35,1.35,15168,alive,MAIN;A,1,A,NA
30458,38391,21574,21574,TABHET,1302,244.57,38.6,446672,5,24.6,1.3,1.3,15154,alive,MAIN;A;ST,1,A,NA
30484,38424,21608,21608,PREMON,1302,249.56,21.92,446686,5,117,1.3,1.3,15154,alive,MAIN;A,1,A,NA
30525,38466,21654,21654,CECSCH,1302,252.71,35.41,446702,5,122,1.3,1.3,15154,alive,MAIN;A;ST,1,A,NA
30541,38486,21672,21672,INGVER,1302,255.43,39.31,446708,5,236,1.2,1.2,15154,alive,MAIN;A,1,A,NA
30613,38567,21752,21752,HIRRUG,1502,284.69,27.47,446730,5,77,1.3,1.3,15159,alive,MAIN;A,1,A,NA
30694,38656,2184,2184,TABHET,603,119.74,43.94,435500,5,137,1.3,1.3,15168,alive,MAIN;A,1,A,NA
30770,38742,21918,21918,HIRRUG,1402,274.06,34.2,446783,5,30.4,1.3,1.3,15155,alive,MAIN;A,1,A,NA
30803,38778,21953,21953,HIRRUG,1402,271.73,34.48,446801,5,37.9,1.3,1.3,15155,alive,MAIN;A;ST,2,A,NA
30954,38949,22106,22106,MANBID,1502,282.55,31.14,446883,5,15.7,1.3,1.3,15159,alive,MAIN;A,1,A,NA
31086,39104,22249,22249,MANBID,1502,298.19,24.19,446941,5,31.8,1.3,1.3,15159,alive,MAIN;A,1,A,NA
31111,39130,22273,22273,HIRRUG,1602,302.38,21.22,446961,5,48.9,1.25,1.27,15160,alive,MAIN;A,1,A,NA
31133,39158,22299,22299,MICPRA,1602,301.81,30.29,446970,5,64,1.3,1.3,15160,alive,MAIN;A,1,A,NA
31188,39222,22356,22356,MYRDEF,1602,308.82,23.43,446996,5,22.5,1.3,1.3,15160,alive,MAIN;A,1,A,NA
31570,39655,22763,22763,TETBAL,204,33.28,79.62,447212,5,NA,NA,NA,15167,broken below,MAIN;A;LS;B,1,A,NA
31646,39734,22835,22835,SLOBER,304,45.26,69.27,447262,5,32.3,1.3,1.3,15168,alive,MAIN;A,1,A,NA
31663,39751,22850,22850,SLOBER,304,49.66,72.2,447274,5,NA,NA,NA,15168,broken below,MAIN;A;LS;B,1,A,NA
31696,39785,22881,22881,DACEXC,304,53.12,66.62,447300,5,67,1.35,1.33,15168,alive,MAIN;A,1,A,NA
31702,39793,22889,22889,SLOBER,304,53.84,73.81,447307,5,67,1.35,1.37,15168,alive,MAIN;A,1,A,NA
31724,39823,22909,22909,GUAGLA,304,59.21,74.1,447330,5,74,1.3,1.3,15168,alive,MAIN;A,2,A,NA
32075,40230,23305,23305,DACEXC,704,124.43,78.04,447491,5,63,1.3,1.3,15170,alive,MAIN;A,1,A,NA
32116,40271,23343,23343,MANBID,704,137.52,70.08,447515,5,95,1.25,1.25,15173,alive,MAIN;A,1,A,NA
